# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 48265 b,Confirmed,1.16,0.38,0.38,1.16,0.38,0.38,,,,700.0,8.0,8.0,1.51,,,0.18,0.13,0.13,,,,0.017277,2008,2009-05-20,309.0,27.0,27.0,4486.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 48265,100.0083333,-48.5419444,8.07,,,,,87.4,,,0.17,,,0.93,,,,,,G5V,,,,,,,,,
HD 49674 b,Confirmed,0.1,,,0.1,,,0.98,,,4.94739,0.000974925,0.000974925,0.058,0.0033,0.0033,0.0495,0.0691,0.0495,,,,0.001425,2002,2015-02-27,263.9,79.3,79.3,2452308.9,,,,,,,,,,,,,,,,,,,,,11.78,1.18,1.18,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 49674,102.875,40.8675,8.1,,,,,40.7,,,0.25,,,1.07,,,0.94,,,G5 V,2.38,,,5482.0,,,,,
HD 50499 b,Confirmed,1.71,0.2,0.2,1.71,0.2,0.2,,,,2482.7,110.0,110.0,3.86,0.6,0.6,0.23,0.14,0.14,,,,0.081676,2005,2010-12-29,262.0,36.0,36.0,61234.6,225.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 50499,103.0083333,-33.9155556,7.22,,,,,47.26,,,0.23,,,1.27,,,1.38,,,G IV,6.0,,,5902.0,,,IR Excess,,
HD 50499 c,Unconfirmed,2.0,nan,inf,,,,,,,3100.0,nan,inf,4.0,nan,inf,,,,,,,0.084638,2005,2010-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,HD 50499,103.0083333,-33.9155556,7.22,,,,,47.26,,,0.23,,,1.27,,,1.38,,,G IV,6.0,,,5902.0,,,IR Excess,,
HD 50554 b,Confirmed,5.16,,,5.16,,,,,,1293.0,37.0,37.0,2.41,,,0.5,0.03,0.03,,,,0.077667,2002,2010-12-30,355.7,4.4,4.4,2451832.4,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 50554,103.675,24.2455556,6.86,,,,,31.03,,,-0.07,,,1.04,,,1.11,0.33,0.33,F8,4.58,,,5902.0,,,IR Excess,,
HD 51608 b,Confirmed,0.0413,0.0031,0.0031,0.0413,0.0031,0.0031,,,,14.07,0.0037,0.0037,0.1059,0.0017,0.0017,0.15,0.06,0.06,,,,0.003043,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 51608,103.7125,-55.2594444,8.17,,,,,34.8,0.6,0.6,,,,,,,,,,K0IV,,,,,,,,,
HD 51608 c,Confirmed,0.0565,0.0152,0.0152,0.0565,0.0152,0.0152,,,,95.415,0.3908,0.3908,0.3791,0.0064,0.0064,0.41,0.18,0.18,,,,0.010894,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 51608,103.7125,-55.2594444,8.17,,,,,34.8,0.6,0.6,,,,,,,,,,K0IV,,,,,,,,,
HD 52265 b,Confirmed,1.05,0.03,0.03,1.05,0.03,0.03,,,,119.6,0.4,0.4,0.5,,,0.35,0.03,0.03,,,,0.017857,2000,2013-07-04,211.0,6.0,6.0,51422.3,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 52265,105.075,-5.3669444,6.3,,,,,28.0,,,0.21,0.06,0.06,1.2,,,1.25,,,G0 V,4.88,,,6159.0,53.0,53.0,IR Excess,,
HD 52265 c,Confirmed,0.35,0.09,0.09,0.35,0.09,0.09,,,,59.9,0.2,0.2,0.316,0.003,0.003,0.05,0.1,0.1,,,,,2013,2013-07-04,358.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 52265,105.075,-5.3669444,6.3,,,,,28.0,,,0.21,0.06,0.06,1.2,,,1.25,,,G0 V,4.88,,,6159.0,53.0,53.0,IR Excess,,
HD 5319 b,Confirmed,1.94,,,1.94,,,,,,675.0,17.0,17.0,1.75,,,0.12,0.08,0.08,,,,0.0175,2007,2007-10-31,76.0,35.0,35.0,13068.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 5319,13.7541667,0.7894444,8.05,,,,,100.0,10.0,10.0,0.15,0.05,0.05,1.56,0.18,0.18,3.26,0.41,0.41,G5IV,2.4,0.68,0.68,5052.0,50.0,50.0,,,
HD 5319 c,Confirmed,1.15,0.08,0.08,1.15,0.08,0.08,,,,886.0,8.0,8.0,2.071,0.013,0.013,0.15,0.06,0.06,,,,,2016,2016-08-10,252.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,18.8,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 5319,13.7541667,0.7894444,8.05,,,,,100.0,10.0,10.0,0.15,0.05,0.05,1.56,0.18,0.18,3.26,0.41,0.41,G5IV,2.4,0.68,0.68,5052.0,50.0,50.0,,,
HD 5388 b,Unconfirmed,69.0,20.0,20.0,,,,,,,777.0,4.0,4.0,1.76,,,0.4,0.02,0.02,178.3,0.7,0.7,0.033208,2009,2011-02-16,324.0,4.0,4.0,2454570.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,HD 5388,13.7958333,-47.4058333,6.8,,,,,53.0,3.0,3.0,-0.27,0.02,0.02,1.21,,,,,,F6V,,,,6297.0,42.0,42.0,,,
HD 5583 b,Confirmed,5.78,0.53,0.53,5.78,0.53,0.53,,,,139.35,0.22,0.22,0.53,0.02,0.02,0.076,0.023,0.07,,,,,2016,2016-03-21,12.0,6.0,330.0,2456021.0,18.0,18.0,,,,,,,,,,,,,,,,,,,225.8,4.0,4.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 5583,14.487500019,34.985555577,7.6,,,,,221.0,4.0,4.0,-0.5,0.18,0.18,1.01,0.1,0.1,9.09,1.5,1.5,K0,7.4,,,4830.0,45.0,45.0,,,
HD 5608 b,Confirmed,1.4,,,1.4,,,,,,792.6,7.7,7.7,1.9,,,,,,,,,,2012,2013-01-17,,,,2452327.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 5608,14.5583,33.9508,6.0,,,,,58.2,2.8,2.8,0.06,0.04,0.04,1.55,0.2,0.2,5.5,0.4,0.4,K0IV,,,,4854.0,25.0,25.0,,,
HD 564 b,Confirmed,0.33,0.03,0.03,0.33,0.03,0.03,,,,492.3,2.3,2.3,1.2,0.02,0.02,0.096,0.067,0.067,,,,,2014,2015-01-08,314.0,31.0,31.0,2455433.0,9.0,9.0,,,,,,,,,,,,,,,,,,,8.79,0.45,0.45,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 564,2.470833351,-50.267777784,8.29,,,,,54.0,2.5,2.5,0.13,0.06,0.06,0.92,0.03,0.03,1.01,0.05,0.05,G3V,5.5,3.1,3.1,5902.0,61.0,61.0,,,
HD 5891 b,Confirmed,7.6,0.4,0.4,7.6,0.4,0.4,,,,177.11,0.31,0.31,0.76,0.02,0.02,0.066,0.02,0.02,,,,0.003028,2011,2011-09-02,360.0,30.0,30.0,2455432.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 5891,15.1375,20.2925,8.25,,,,,251.0,76.0,76.0,-0.02,0.03,0.03,1.91,0.13,0.13,8.7,0.2,0.2,G5D,1.5,0.8,0.8,4907.0,44.0,44.0,,,
HD 59686 A b,Confirmed,6.92,0.24,0.18,6.92,0.24,0.18,,,,299.36,0.31,0.26,1.086,0.0007,0.0006,0.05,0.02,0.03,,,,0.009902,2003,2016-08-03,,,,,,,,,,,,,,,,,,,,,,,,,136.9,4.6,3.8,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,"HR 2877 b, HIP 36616 b",,HD 59686 A,112.95,17.0858333,5.45,,,,,96.8,2.6,2.7,0.15,0.1,0.1,1.9,0.2,0.2,13.2,0.3,0.3,K2 III,1.73,0.47,0.47,4658.0,24.0,24.0,,,"HR 2877, HIP 36616"
HD 60532 b,Confirmed,9.21,0.0,0.0,3.15,,,,,,201.83,0.14,0.14,0.77,,,0.278,0.006,0.006,20.0,0.0,0.0,0.029961,2008,2012-01-31,352.83,1.05,1.05,54000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 60532,113.5125,-22.2961111,4.45,,,,,25.7,,,-0.26,,,1.44,0.1,0.1,,,,F6IV-V,2.7,0.1,0.1,6095.0,,,,,
HD 60532 c,Confirmed,21.81,0.0,0.0,7.46,,,,,,607.06,2.1,2.1,1.58,,,0.038,0.008,0.008,20.0,0.0,0.0,0.061479,2008,2012-01-31,119.49,9.14,9.14,54000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 60532,113.5125,-22.2961111,4.45,,,,,25.7,,,-0.26,,,1.44,0.1,0.1,,,,F6IV-V,2.7,0.1,0.1,6095.0,,,,,
HD 62509 b,Confirmed,2.9,0.1,0.1,2.9,0.1,0.1,,,,589.64,0.81,0.81,1.69,0.03,0.03,0.02,0.03,0.03,,,,0.163443,2006,2015-08-21,354.58,95.65,95.65,2447739.02,4.5,4.5,,,,,,,,,,,,,,,,,,,46.0,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 62509,116.325,28.0261111,1.15,,,,,10.34,1.0,1.0,0.19,,,1.47,0.45,0.45,9.3,,, K0IIIb,,,,4666.0,95.0,95.0,,,
HD 63454 b,Confirmed,0.39,,,0.39,,,1.06,,,2.81747,0.000382247,0.000382247,0.036,,,0.0177,0.0203,0.0177,,,,0.001006,2005,2015-02-20,137.1,76.2,76.2,2453238.057,,,,,,,,,,,,,,,,,,,,,63.19,1.82,1.82,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 63454,114.8375,-78.2788889,9.37,,,,,35.8,,,0.11,0.07,0.07,0.8,,,,,,K4 V,1.0,,,4841.0,65.0,65.0,,,
HD 63765 b,Confirmed,0.64,0.05,0.05,0.64,0.05,0.05,,,,358.0,1.0,1.0,0.949,0.016,0.016,0.24,0.043,0.043,,,,0.02911,2009,2011-07-05,122.0,13.0,13.0,2454404.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 63765,116.9583333,-54.2641667,8.1,,,,,32.6,0.7,0.7,-0.16,0.01,0.01,0.865,0.029,0.029,,,,G9V,4.77,4.07,4.07,5432.0,19.0,19.0,,,
HD 6434 b,Confirmed,0.39,,,0.39,,,,,,21.998,0.0009,0.0009,0.14,,,0.17,0.03,0.03,,,,0.003472,2000,2010-12-30,156.0,11.0,11.0,51490.8,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 6434,16.1666667,-39.4880556,7.72,,,,,40.32,,,-0.52,,,0.79,,,0.57,,,G3 IV,3.8,,,5835.0,,,,,
HD 65216 b,Confirmed,1.26,0.04,0.04,1.26,0.04,0.04,,,,572.4,0.21,0.21,1.3,0.03,0.03,0.41,0.06,0.06,,,,0.039942,2003,2014-01-26,198.0,6.0,6.0,50762.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 65216,118.4208333,-63.6472222,7.98,,,,,34.3,,,-0.12,,,0.92,,,,,,G5 V,,,,5666.0,,,,,
HD 65216 c,Confirmed,0.17,0.03,0.03,0.17,0.03,0.03,,,,152.6,0.6,0.6,0.54,0.01,0.01,0.02,0.1,0.1,,,,,2011,2014-01-26,360.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 65216,118.4208333,-63.6472222,7.98,,,,,34.3,,,-0.12,,,0.92,,,,,,G5 V,,,,5666.0,,,,,
HD 66141 b,Confirmed,6.0,0.3,0.3,6.0,0.3,0.3,,,,480.5,0.5,0.5,1.2,0.1,0.1,0.07,0.03,0.03,,,,,2012,2012-11-12,22.1,3.5,3.5,2451320.8,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 66141,120.5667,2.3344,4.39,,,,,80.9,6.3,6.3,-0.32,0.034,0.034,1.1,0.1,0.1,21.4,0.6,0.6,K2III,6.84,1.39,1.39,4305.0,15.0,15.0,,,
HD 66428 b,Confirmed,2.82,0.027,0.027,2.82,0.027,0.027,,,,1973.0,31.0,31.0,3.18,0.19,0.19,0.465,0.03,0.03,,,,0.057818,2006,2006-07-15,152.9,3.9,3.9,,,,,,,,,,,,,,,,,,,12139.0,16.0,16.0,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 66428,120.8666667,-1.1625,8.25,,,,,55.0,3.8,3.8,0.31,,,1.14552,,,,,,G5,5.56,,,5752.0,,,,,
HD 67087 b,Confirmed,3.06,0.2,0.22,3.06,0.2,0.22,,,,352.2,1.7,1.7,1.08,0.04,0.04,0.17,0.07,0.07,,,,,2015,2015-07-27,284.0,17.0,21.0,2450154.8,29.1,26.3,,,,,,,,,,,,,,,,,,,73.6,3.9,4.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 67087,121.91666668,31.551388901,8.05,,,,,88.8,,,0.25,0.04,0.04,1.36,0.04,0.04,1.55,0.32,0.32,F8 V,1.45,0.51,0.51,6330.0,47.0,47.0,,,
HD 67087 c,Confirmed,4.85,3.61,10.0,4.85,3.61,10.0,,,,2374.0,156.0,193.0,3.86,0.37,0.43,0.76,0.24,0.17,,,,,2015,2015-07-27,255.0,26.0,28.0,2450322.5,407.0,371.0,,,,,,,,,,,,,,,,,,,93.3,40.8,151.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 67087,121.91666668,31.551388901,8.05,,,,,88.8,,,0.25,0.04,0.04,1.36,0.04,0.04,1.55,0.32,0.32,F8 V,1.45,0.51,0.51,6330.0,47.0,47.0,,,
HD 6718 b,Confirmed,1.56,0.1,0.11,1.56,0.1,0.11,,,,2496.0,176.0,176.0,3.56,0.15,0.15,0.1,0.04,0.04,,,,0.063685,2009,2010-09-08,286.0,35.0,35.0,4357.0,251.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 6718,16.9541667,-8.2336111,8.45,,,,,55.9,2.2,2.2,-0.06,0.02,0.02,0.96,,,1.02,0.03,0.03,G5V,,,,5745.0,19.0,19.0,,,
HD 68402 b,Confirmed,3.07,0.35,0.35,3.07,0.35,0.35,,,,1103.0,33.0,33.0,2.18,0.09,0.09,0.03,0.03,0.06,,,,,2016,2016-04-02,341.0,130.0,130.0,,,,,,,,,,,,,,,,,,,,,,54.7,5.3,5.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 68402,121.350000008,-74.410555572,9.11,,,,,78.0,3.7,3.7,0.29,0.1,0.1,1.12,0.05,0.05,1.02,0.05,0.05,G5IV/V,2.0,2.0,3.0,5950.0,100.0,100.0,,,
HD 68988 b,Confirmed,1.86,0.16,0.16,1.86,0.16,0.16,,,,6.2771,0.00021,0.00021,0.0704,0.0041,0.0041,0.1249,0.0087,0.0087,,,,0.001224,2001,2016-01-26,31.4,3.5,3.5,2451548.84,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 68988,124.5916667,61.4605556,8.21,,,,,58.0,,,0.24,,,1.2,,,1.14,,,G0,6.78,,,5767.0,,,,,
HD 68988 c,Unconfirmed,15.0,5.0,5.0,,,,,,,12700.0,9000.0,9000.0,6.0,1.0,1.0,,,,,,,0.103448,2006,2010-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,HD 68988,124.5916667,61.4605556,8.21,,,,,58.0,,,0.24,,,1.2,,,1.14,,,G0,6.78,,,5767.0,,,,,
HD 69830 b,Confirmed,0.1427,0.0928,inf,0.0321,,,,,,8.667,0.003,0.003,0.0785,,,0.1,0.04,0.04,13.0,13.0,27.0,0.00623,2006,2017-06-14,340.0,26.0,26.0,2453496.8,0.6,0.6,,,,,,,,,,,,,,,,,,,3.51,0.15,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7.0,3.0,3.0,5385.0,20.0,20.0,IR Excess,,
HD 69830 c,Confirmed,0.1649,0.1072,inf,0.0371,,,,,,31.56,0.04,0.04,0.186,,,0.13,0.06,0.06,13.0,13.0,27.0,0.014762,2006,2017-06-14,221.0,35.0,35.0,2453469.6,2.8,2.8,,,,,,,,,,,,,,,,,,,2.66,0.16,0.16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7.0,3.0,3.0,5385.0,20.0,20.0,IR Excess,,
HD 69830 d,Confirmed,0.2529,0.1644,inf,0.0569,,,,,,197.0,3.0,3.0,0.63,,,0.07,0.07,0.07,13.0,13.0,27.0,0.05,2006,2017-06-14,224.0,61.0,61.0,2453358.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7.0,3.0,3.0,5385.0,20.0,20.0,IR Excess,,
HD 70573 b,Unconfirmed,6.1,0.4,0.4,6.1,0.4,0.4,,,,851.8,11.6,11.6,1.76,0.05,0.05,0.4,0.1,0.1,,,,0.038512,2007,2016-09-03,269.6,14.3,14.3,2452106.54,25.72,25.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,HD 70573,125.7083333,1.8594444,8.7,,,,,45.7,,,-0.18,0.2,0.2,1.0,0.1,0.1,,,,G1-1.5V,0.101,0.024,0.024,5737.0,70.0,70.0,,,
HD 70642 b,Confirmed,2.0,,,2.0,,,,,,2231.0,400.0,400.0,3.3,,,0.1,0.06,0.06,,,,0.114583,2003,2011-01-01,277.0,75.0,75.0,2451749.0,300.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 70642,125.3666667,-39.7052778,7.17,,,,,28.8,,,0.16,0.02,0.02,1.0,0.05,0.05,0.84,,,G5 IV-V,3.88,,,5670.0,20.0,20.0,,,
HD 7199 b,Confirmed,0.29,0.023,0.023,0.29,0.023,0.023,,,,615.0,7.0,7.0,1.36,0.02,0.02,0.19,0.13,0.13,,,,0.037778,2011,2011-08-02,155.0,64.0,64.0,2455030.0,277.0,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 7199,17.6958333,-66.1880556,8.06,,,,,36.0,1.0,1.0,0.28,0.03,0.03,0.89,,,0.96,,,KOIV/V,6.79,0.78,0.78,5386.0,45.0,45.0,,,
HD 72659 b,Confirmed,3.15,0.14,0.14,3.15,0.14,0.14,,,,3658.0,32.0,32.0,4.74,0.08,0.08,0.22,0.03,0.03,,,,0.095181,2002,2010-12-20,260.7,6.5,6.5,55351.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 72659,128.5125,-1.5680556,7.46,,,,,49.8,2.0,2.0,-0.02,0.01,0.01,0.95,2.0,2.0,1.36,0.06,0.06,G2 V,6.5,1.5,1.5,5926.0,62.0,62.0,,,
HD 72892 b,Confirmed,5.45,0.37,0.37,5.45,0.37,0.37,,,,39.475,0.004,0.004,0.228,0.008,0.008,0.423,0.006,0.006,,,,,2016,2016-04-02,353.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,318.4,4.5,4.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 72892,128.720833351,-14.456666681,8.83,,,,,72.78,4.4,4.4,0.25,0.1,0.1,1.02,0.05,0.05,1.22,0.06,0.06,G5V,8.0,3.0,3.0,5688.0,100.0,100.0,,,
HD 73256 b,Confirmed,1.87,0.49,0.49,1.87,0.49,0.49,,,,2.54858,0.00016,0.00016,0.037,,,0.029,0.02,0.02,,,,0.001014,2003,2010-12-23,337.3,45.8,45.8,52500.18,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 73256,129.0958333,-30.0375,8.08,,,,,36.5,,,0.29,0.05,0.05,1.05,,,0.89,,,G8/K0,0.83,,,5570.0,50.0,50.0,,,
HD 73267 b,Confirmed,3.06,0.07,0.07,3.06,0.07,0.07,,,,1260.0,7.0,7.0,2.198,0.025,0.025,0.256,0.009,0.009,,,,0.040029,2008,2014-08-27,229.1,1.8,1.8,2451821.7,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 73267,129.075,-34.46,8.9,,,,,54.91,3.0,3.0,0.03,0.02,0.02,0.89,0.03,0.03,1.04,,,G5V,7.4,4.5,4.5,5317.0,34.0,34.0,,,
HD 73526 b,Confirmed,2.25,0.12,0.12,2.25,0.12,0.12,,,,188.9,0.1,0.1,0.65,0.01,0.01,0.29,0.03,0.03,,,,0.006667,2002,2016-01-20,196.0,5.0,5.0,2452856.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 73526,129.3166667,-41.3188889,9.0,,,,,99.0,,,0.25,0.05,0.05,1.08,0.05,0.05,1.49,,,G6 V,5.59,,,5590.0,,,IR Excess,,
HD 73526 c,Confirmed,2.25,0.13,0.13,2.25,0.13,0.13,,,,379.1,0.5,0.5,1.03,0.02,0.02,0.28,0.05,0.05,,,,0.010606,2006,2016-01-20,272.0,10.0,10.0,2453300.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 73526,129.3166667,-41.3188889,9.0,,,,,99.0,,,0.25,0.05,0.05,1.08,0.05,0.05,1.49,,,G6 V,5.59,,,5590.0,,,IR Excess,,
HD 73534 b,Confirmed,1.15,,,1.15,,,,,,1800.0,110.0,110.0,3.15,,,0.046,0.08,0.08,,,,0.032478,2009,2009-08-13,59.0,92.0,92.0,2453120.0,830.0,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 73534,129.8166667,12.9602778,8.24,,,,,96.99,,,0.16,0.04,0.04,1.29,0.1,0.1,2.65,0.1,0.1,G5IV,,,,4952.0,50.0,50.0,,,
HD 74156 b,Confirmed,1.778,0.02,0.02,1.778,0.02,0.02,,,,51.6385,0.0015,0.0015,0.2916,0.0033,0.0033,0.638,0.0061,0.0061,,,,0.004554,2003,2016-01-15,175.35,0.92,0.92,2450793.39,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 74156,130.6041667,4.5780556,7.62,,,,,64.56,4.9,4.9,0.13,,,1.24,0.04,0.04,1.64,0.19,0.19,G1V,3.7,0.4,0.4,5960.0,100.0,100.0,,,
HD 74156 c,Confirmed,7.997,0.095,0.095,7.997,0.095,0.095,,,,2448.9,5.5,5.5,3.82,0.044,0.044,0.3829,0.008,0.008,,,,0.052664,2003,2016-01-15,268.9,1.6,1.6,2448559.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 74156,130.6041667,4.5780556,7.62,,,,,64.56,4.9,4.9,0.13,,,1.24,0.04,0.04,1.64,0.19,0.19,G1V,3.7,0.4,0.4,5960.0,100.0,100.0,,,
HD 74156 d,Unconfirmed,0.396,0.02,0.02,,,,,,,336.6,3.6,3.6,1.01,,,0.25,0.11,0.11,,,,0.015644,2007,2010-12-06,166.5,27.4,27.4,678.2,44.2,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,HD 74156,130.6041667,4.5780556,7.62,,,,,64.56,4.9,4.9,0.13,,,1.24,0.04,0.04,1.64,0.19,0.19,G1V,3.7,0.4,0.4,5960.0,100.0,100.0,,,
HD 7449 b,Confirmed,1.11,0.37,0.27,1.11,0.37,0.27,,,,1275.0,11.0,15.0,2.3,0.04,0.04,0.82,0.06,0.06,,,,0.058974,2011,2014-05-23,339.0,6.0,6.0,2455298.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 7449,18.6208333,-5.0475,7.5,,,,,39.0,1.0,1.0,-0.11,0.01,0.01,1.05,,,1.01,,,F8V,2.1,0.24,0.24,6024.0,13.0,13.0,,,
HD 7449 c,Confirmed,2.0,0.54,0.36,2.0,0.54,0.36,,,,4046.0,366.0,186.0,4.96,0.3,0.2,0.53,0.08,0.08,,,,0.127179,2011,2014-05-23,11.0,8.0,8.0,2455883.0,172.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 7449,18.6208333,-5.0475,7.5,,,,,39.0,1.0,1.0,-0.11,0.01,0.01,1.05,,,1.01,,,F8V,2.1,0.24,0.24,6024.0,13.0,13.0,,,
